,palavra,doc|ocorrencia
462,paz,"[(54, 1), (82, 1), (105, 1)]"
463,ganhar,"[(54, 1), (82, 1), (105, 1)]"
464,vida,"[(54, 1), (82, 1), (105, 1)]"
465,desonestamente,"[(54, 1), (82, 1), (105, 1)]"
466,molestado,"[(54, 1), (82, 1), (105, 1)]"
467,meganhas,"[(54, 1), (82, 1), (105, 1)]"
468,polícia,"[(54, 1), (82, 1), (105, 1)]"
469,confira,"[(69, 1)]"
470,criminalizar,"[(70, 1)]"
471,arrastão,"[(70, 1)]"
472,penas,"[(70, 1)]"
473,anos,"[(70, 2)]"
474,prisão,"[(70, 1)]"
475,crime,"[(70, 1)]"
476,resulte,"[(70, 1)]"
477,morte,"[(70, 1)]"
478,pena,"[(70, 1), (116, 1)]"
479,cadeia,"[(70, 1)]"
480,alexandre,"[(71, 1)]"
481,moraes,"[(71, 1)]"
482,entrevero,"[(71, 1)]"
483,antes,"[(71, 1)]"
484,embarcar,"[(71, 1)]"
485,voo,"[(71, 1)]"
486,terça,"[(71, 1)]"
487,passada,"[(71, 1)]"
488,aeroporto,"[(71, 1)]"
489,bela,"[(71, 1)]"
490,megale,"[(71, 1)]"
491,líder,"[(72, 1)]"
492,câmara,"[(72, 1), (86, 1)]"
493,augusto,"[(72, 1)]"
494,criticou,"[(72, 1)]"
495,chamou,"[(72, 1)]"
496,apoio,"[(72, 1)]"
497,bancada,"[(72, 1)]"
498,governista,"[(72, 1)]"
499,paulo,"[(72, 1), (87, 1), (90, 1), (118, 2)]"
500,guedes,"[(72, 1), (87, 1)]"
501,sessão,"[(72, 1)]"
502,ccj,"[(72, 1)]"
503,implementação,"[(73, 1)]"
504,promessas,"[(73, 1)]"
505,bolsa,"[(73, 1), (90, 1)]"
506,foragido,"[(74, 1)]"
507,desde,"[(74, 1)]"
508,maio,"[(74, 1)]"
509,passado,"[(74, 1)]"
510,dario,"[(74, 1)]"
511,messer,"[(74, 1)]"
512,doleiro,"[(74, 1)]"
513,doleiros,"[(74, 1)]"
514,transformação,"[(74, 1)]"
515,total,"[(74, 1)]"
516,face,"[(74, 1)]"
517,irreconhecível,"[(74, 1)]"
518,lauro,"[(74, 1)]"
519,jardim,"[(74, 1)]"
520,senado,"[(86, 1), (116, 1)]"
521,adiou,"[(86, 1)]"
522,instalação,"[(86, 1)]"
523,prevista,"[(86, 1)]"
524,comissão,"[(86, 1)]"
525,especial,"[(86, 1)]"
526,acompanhar,"[(86, 1)]"
527,tramitação,"[(86, 1)]"
528,vinicius,"[(87, 1)]"
529,torres,"[(87, 1)]"
530,freire,"[(87, 1)]"
531,sururu,"[(87, 1)]"
532,deputados,"[(87, 1), (98, 1), (117, 1)]"
533,dar,"[(87, 1)]"
534,nada,"[(87, 2)]"
535,sintoma,"[(87, 1)]"
536,motivo,"[(87, 1)]"
537,fibrilação,"[(87, 1)]"
538,preços,"[(87, 1)]"
539,mercado,"[(87, 1)]"
540,pessoal,"[(87, 1)]"
541,finança,"[(87, 1)]"
542,atribuiu,"[(87, 1)]"
543,arranca,"[(87, 1)]"
544,rabo,"[(87, 1)]"
545,audiência,"[(87, 1), (119, 1)]"
546,ministro,"[(87, 1)]"
547,míriam,"[(88, 1)]"
548,leitão,"[(88, 1)]"
549,descarta,"[(88, 1)]"
550,possa,"[(88, 1)]"
551,enterrada,"[(88, 1)]"
552,eleita,"[(89, 1)]"
553,novembro,"[(89, 1)]"
554,indicação,"[(89, 1)]"
555,atual,"[(89, 1)]"
556,direção,"[(89, 1)]"
557,sebrae,"[(89, 1)]"
558,deve,"[(89, 1)]"
559,destituída,"[(89, 1)]"
560,igor,"[(89, 1)]"
561,gadelha,"[(89, 1)]"
562,fechou,"[(90, 1)]"
563,pontos,"[(90, 1)]"
564,alta,"[(90, 1)]"
565,enquanto,"[(90, 1)]"
566,dólar,"[(90, 1)]"
567,perdeu,"[(90, 1)]"
568,recuou,"[(90, 1)]"
569,oposição,"[(98, 1)]"
570,detidos,"[(98, 1)]"
571,sábado,"[(98, 1), (115, 1), (119, 1)]"
572,forças,"[(98, 1)]"
573,bolivarianas,"[(98, 1)]"
574,protesto,"[(98, 1)]"
575,convocado,"[(98, 1)]"
576,juan,"[(98, 1)]"
577,guaidó,"[(98, 1)]"
578,estados,"[(112, 1)]"
579,unidos,"[(112, 1)]"
580,vão,"[(112, 1)]"
581,impor,"[(112, 1)]"
582,novas,"[(112, 1)]"
583,sanções,"[(112, 1)]"
584,comediante,"[(113, 1)]"
585,vladimir,"[(113, 1)]"
586,zelensky,"[(113, 1)]"
587,tornar,"[(113, 1)]"
588,próximo,"[(113, 1)]"
589,ucrânia,"[(113, 1)]"
590,dia,"[(113, 1)]"
591,jamais,"[(115, 1)]"
592,atuou,"[(115, 1)]"
593,contraponto,"[(115, 1)]"
594,márcio,"[(116, 1)]"
595,bittar,"[(116, 1)]"
596,criminaliza,"[(116, 1)]"
597,endurecer,"[(116, 1)]"
598,comprovada,"[(116, 1)]"
599,origem,"[(116, 1)]"
600,ilícita,"[(116, 1)]"
601,dinheiro,"[(116, 1), (118, 1)]"
602,contrariaram,"[(117, 1)]"
603,votarem,"[(117, 1)]"
604,proposta,"[(117, 1)]"
605,deputado,"[(117, 1)]"
606,marcel,"[(117, 1)]"
607,van,"[(117, 1)]"
608,hattem,"[(117, 1)]"
609,permitir,"[(117, 1)]"
610,partidos,"[(117, 1)]"
611,devolver,"[(117, 1)]"
612,usam,"[(117, 1)]"
613,fundo,"[(117, 1)]"
614,partidário,"[(117, 1)]"
615,pgr,"[(118, 1)]"
616,requereu,"[(118, 1)]"
617,nesta,"[(118, 1)]"
618,sexta,"[(118, 1)]"
619,feira,"[(118, 1)]"
620,envio,"[(118, 1)]"
621,investigação,"[(118, 1)]"
622,cita,"[(118, 1)]"
623,tucano,"[(118, 1)]"
624,bauer,"[(118, 1)]"
625,atos,"[(118, 1)]"
626,corrupção,"[(118, 1)]"
627,ativa,"[(118, 1)]"
628,passiva,"[(118, 1)]"
629,lavagem,"[(118, 1)]"
630,deputada,"[(119, 1)]"
631,norma,"[(119, 1)]"
632,ayub,"[(119, 1)]"
633,solicitar,"[(119, 1)]"
634,esclarecer,"[(119, 1)]"
635,acesso,"[(119, 1)]"
636,ilegal,"[(119, 1)]"
