,palavra,doc|ocorrencia
82,relator,"[(6, 1), (34, 1), (63, 1), (79, 1), (116, 1)]"
83,independente,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
84,promoção,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
85,verdade,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
86,justiça,"[(6, 1), (20, 1), (25, 1), (32, 1), (34, 1), (50, 1), (60, 1), (63, 1), (65, 1), (79, 1), (81, 1), (101, 1), (103, 1), (106, 1), (118, 1)]"
87,reparação,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
88,text,"[(7, 1), (37, 1), (68, 1), (91, 1)]"
89,soraya,"[(9, 1)]"
90,thronicke,"[(9, 1)]"
91,senadora,"[(9, 1)]"
92,psl,"[(9, 1), (117, 1)]"
93,mato,"[(9, 1)]"
94,grosso,"[(9, 1)]"
95,sul,"[(9, 1)]"
96,negou,"[(9, 1)]"
97,ter,"[(9, 1), (21, 1), (23, 1), (48, 1), (84, 1), (121, 1)]"
98,sido,"[(9, 1)]"
99,pressionada,"[(9, 1)]"
100,tirar,"[(9, 1)]"
101,assinatura,"[(9, 1)]"
102,requerimento,"[(9, 1)]"
103,cpi,"[(9, 1)]"
104,lava,"[(9, 1)]"
105,toga,"[(9, 1)]"
106,reportagem,"[(10, 1)]"
107,festa,"[(10, 1)]"
108,boi,"[(10, 1)]"
109,crusoé,"[(10, 1)]"
110,michel,"[(10, 1), (89, 1)]"
111,temer,"[(10, 1), (89, 1)]"
112,cai,"[(10, 1)]"
113,grampo,"[(10, 1)]"
114,conversa,"[(10, 1)]"
115,joesley,"[(10, 1)]"
116,batista,"[(10, 1)]"
117,noite,"[(10, 1), (42, 1)]"
118,reeleição,"[(10, 1)]"
119,dilma,"[(10, 1)]"
120,rousseff,"[(10, 1)]"
121,hoje,"[(11, 1), (15, 1), (16, 1), (21, 1), (32, 1), (33, 1), (39, 1), (43, 1), (46, 1), (50, 1), (61, 1), (67, 1), (86, 1), (90, 1), (94, 1), (97, 1), (101, 1), (102, 1)]"
122,querer,"[(11, 1), (12, 1), (59, 1), (99, 1)]"
123,polêmica,"[(11, 1)]"
124,palestina,"[(11, 1)]"
125,afirmou,"[(11, 1), (115, 1)]"
126,visitará,"[(11, 1)]"
127,dois,"[(11, 1), (30, 1), (41, 1), (98, 1), (116, 1)]"
128,três,"[(11, 1), (24, 1), (53, 1), (55, 1), (107, 1), (110, 1)]"
129,países,"[(11, 1)]"
130,árabes,"[(11, 1)]"
131,início,"[(11, 1)]"
132,segundo,"[(11, 1), (22, 1), (23, 1), (48, 1), (56, 1), (84, 1), (85, 1), (109, 1), (121, 1)]"
133,semestre,"[(11, 1)]"
134,registra,"[(11, 1), (12, 1), (16, 1), (32, 1), (50, 1), (59, 1), (67, 1), (72, 1), (97, 1), (99, 1), (101, 1)]"
135,controla,"[(12, 1), (59, 1), (99, 1)]"
136,faixa,"[(12, 1), (59, 1), (99, 1)]"
137,gaza,"[(12, 1), (59, 1), (99, 1)]"
138,respondeu,"[(12, 1), (59, 1), (99, 1)]"
139,tuíte,"[(12, 1), (59, 1), (99, 1)]"
140,publicado,"[(12, 1), (59, 1), (99, 1)]"
141,apagado,"[(12, 1), (59, 1), (99, 1)]"
142,exploda,"[(12, 1), (59, 1), (99, 1)]"
143,estadão,"[(12, 1), (59, 1), (99, 1)]"
144,publicamos,"[(13, 1)]"
145,sérgio,"[(13, 1), (21, 1), (40, 1)]"
146,cabral,"[(13, 1), (21, 1), (40, 1)]"
147,marcelo,"[(13, 1), (21, 1)]"
148,bretas,"[(13, 1), (21, 1)]"
149,repassou,"[(13, 1)]"
150,milhão,"[(13, 1), (21, 1)]"
151,reais,"[(13, 1)]"
152,propina,"[(13, 1)]"
153,campanha,"[(13, 1), (21, 1), (73, 1)]"
154,aécio,"[(13, 1), (21, 1)]"
155,neves,"[(13, 1), (21, 1)]"
156,roberto,"[(14, 1), (49, 1), (104, 1)]"
157,almeida,"[(14, 1), (49, 1), (104, 1)]"
158,espancado,"[(14, 1), (49, 1), (104, 1)]"
159,outros,"[(14, 1), (49, 1), (104, 1)]"
160,torcedores,"[(14, 1), (49, 1), (104, 1)]"
161,meio,"[(14, 1), (49, 1), (104, 1)]"
162,rua,"[(14, 1), (49, 1), (104, 1)]"
163,copacabana,"[(14, 1), (49, 1), (104, 1)]"
164,ontem,"[(14, 1), (49, 1), (72, 1), (104, 1)]"
165,continua,"[(14, 1), (49, 1), (104, 1)]"
166,internado,"[(14, 1), (49, 1), (104, 1)]"
167,estado,"[(14, 1), (43, 1), (49, 1), (104, 1)]"
168,grave,"[(14, 1), (49, 1), (104, 1)]"
169,sergio,"[(15, 1), (39, 1), (94, 1), (116, 1), (119, 1)]"
170,moro,"[(15, 1), (39, 1), (94, 1), (116, 1), (119, 1)]"
171,apresentou,"[(15, 1), (39, 1), (70, 1), (94, 1)]"
172,projeto,"[(15, 1), (36, 1), (39, 1), (51, 1), (70, 1), (83, 1), (94, 1), (108, 1), (116, 1)]"
173,reduzir,"[(15, 1), (39, 1), (94, 1)]"
174,crimes,"[(15, 1), (39, 1), (94, 1)]"
175,violentos,"[(15, 1), (39, 1), (94, 1)]"
176,informa,"[(15, 1), (39, 1), (41, 1), (74, 1), (89, 1), (94, 1)]"
177,uol,"[(15, 1), (39, 1), (72, 1), (94, 1)]"
178,porta,"[(16, 1), (67, 1), (97, 1)]"
179,voz,"[(16, 1), (67, 1), (97, 1)]"
180,presidência,"[(16, 1), (21, 1), (67, 1), (97, 1)]"
181,otávio,"[(16, 1), (67, 1), (97, 1)]"
182,rêgo,"[(16, 1), (67, 1), (97, 1)]"
183,barros,"[(16, 1), (67, 1), (97, 1)]"
184,informou,"[(16, 1), (67, 1), (97, 1)]"
185,haverá,"[(16, 1), (67, 1), (97, 1)]"
